packet_no,msg_type,src_mac,src_ip,xid,lease_time,relay_ip,dns,gateway,label,attack_type
38885,ACK,server,192.168.1.214,96749,82171,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38886,REQUEST,d8:c0:0d:35:bc:fa,0.0.0.0,37209,65498,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38887,REQUEST,84:1f:72:09:10:a3,192.168.1.192,22550,27308,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
38888,OFFER,server,192.168.1.43,4880,10902,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38889,REQUEST,fe:74:d9:d3:4e:b0,0.0.0.0,25285,68012,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38890,OFFER,server,192.168.1.134,54672,82343,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38891,DISCOVER,7a:7c:0a:de:50:ba,0.0.0.0,37674,66419,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38892,ACK,server,192.168.1.197,92338,74508,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38893,DISCOVER,70:63:b5:23:b6:5b,0.0.0.0,48018,23462,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38894,DISCOVER,f2:67:e2:a1:b9:e2,0.0.0.0,60897,7286,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38895,REQUEST,8a:78:50:bb:cd:d6,0.0.0.0,9895,42224,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38896,REQUEST,23:73:53:fe:f2:8c,0.0.0.0,26711,15845,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38897,DISCOVER,aa:b4:0d:c3:86:52,0.0.0.0,54490,85873,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38898,DISCOVER,68:a9:cb:08:c6:1d,0.0.0.0,29847,63828,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38899,DISCOVER,24:0c:93:1c:45:af,0.0.0.0,20325,48323,10.0.52.28,123.123.123.123,111.111.111.1,ATTACK,RELAY_ANOMALY
38900,OFFER,server,192.168.1.140,27237,23310,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38901,OFFER,server,192.168.1.105,92415,36611,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38902,OFFER,server,192.168.1.236,29633,430,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38903,OFFER,server,192.168.1.65,36980,75445,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38904,DISCOVER,42:ce:87:4c:35:0c,0.0.0.0,71005,55247,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38905,ACK,server,192.168.1.72,76092,64184,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38906,REQUEST,b1:a4:1a:e7:25:71,0.0.0.0,2002,13310,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38907,DISCOVER,81:a6:70:ee:00:09,0.0.0.0,76850,68306,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38908,OFFER,server,192.168.1.68,52612,38989,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38909,REQUEST,d3:b1:72:fa:92:e7,0.0.0.0,67641,37174,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38910,DISCOVER,b1:05:35:4e:e4:98,0.0.0.0,77750,80209,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38911,DISCOVER,fa:c4:5b:da:cc:2f,0.0.0.0,12286,51937,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38912,REQUEST,bc:55:2b:1c:aa:4e,0.0.0.0,54460,29509,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38913,OFFER,server,192.168.1.22,42069,49979,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38914,OFFER,attacker,111.111.111.1,53942,80424,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_SPOOFING
38915,OFFER,server,192.168.1.37,51260,28289,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38916,ACK,server,192.168.1.94,62347,37156,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38917,OFFER,server,192.168.1.6,76186,68046,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38918,OFFER,server,192.168.1.112,97274,24711,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38919,REQUEST,2e:0c:35:ae:93:59,0.0.0.0,12480,29028,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38920,OFFER,server,192.168.1.32,93686,18208,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38921,REQUEST,9d:60:8c:b4:a4:09,0.0.0.0,61244,41349,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38922,OFFER,rogue_server,10.0.0.5,42334,1685,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
38923,REQUEST,17:cd:12:35:ab:be,0.0.0.0,93433,62604,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38924,REQUEST,0a:57:2e:7d:52:0d,0.0.0.0,65789,81798,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38925,ACK,server,192.168.1.114,63047,73150,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38926,OFFER,server,192.168.1.19,76378,41154,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38927,REQUEST,5a:0e:7f:93:77:4c,192.168.1.192,30189,72014,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
38928,REQUEST,a0:72:44:bb:85:00,192.168.1.238,1275,16287,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
38929,REQUEST,a7:c2:f5:f9:0d:67,192.168.1.183,98488,64479,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
38930,REQUEST,87:55:f7:d1:74:d3,0.0.0.0,68669,74592,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38931,OFFER,server,192.168.1.224,76493,7407,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38932,DISCOVER,3c:a6:eb:93:bd:59,0.0.0.0,56154,8678,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38933,DISCOVER,88:81:3e:07:cb:61,0.0.0.0,48987,77649,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38934,REQUEST,0e:71:c3:dc:e4:c3,0.0.0.0,30042,76902,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38935,ACK,server,192.168.1.190,58829,29141,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38936,OFFER,server,192.168.1.66,84070,81272,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38937,REQUEST,cc:3e:c9:ae:b7:95,0.0.0.0,52925,14913,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38938,ACK,server,192.168.1.187,48668,32939,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38939,OFFER,server,192.168.1.223,57002,54650,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38940,ACK,server,192.168.1.151,67872,66012,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38941,DISCOVER,f3:c1:2f:00:dd:39,0.0.0.0,83708,43262,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38942,DISCOVER,9f:41:f4:86:2b:d6,0.0.0.0,79095,62590,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38943,ACK,server,192.168.1.209,31856,55533,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38944,ACK,server,192.168.1.172,11815,62245,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38945,DISCOVER,33:b7:bc:44:d0:9c,0.0.0.0,81076,26100,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38946,ACK,server,192.168.1.112,89144,6739,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38947,OFFER,server,192.168.1.110,83193,14254,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38948,REQUEST,da:62:d2:9c:c1:d5,0.0.0.0,43082,39012,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38949,DISCOVER,eb:9c:11:2d:22:e3,0.0.0.0,45467,15431,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38950,ACK,server,192.168.1.114,17480,69715,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38951,DISCOVER,03:79:33:fe:99:e1,0.0.0.0,76388,35554,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38952,OFFER,server,192.168.1.184,85879,28939,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38953,OFFER,server,192.168.1.5,42736,80096,10.0.196.85,123.123.123.123,111.111.111.1,ATTACK,RELAY_ANOMALY
38954,DISCOVER,5a:78:76:4b:cc:b8,0.0.0.0,71669,3258,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38955,OFFER,rogue_server,10.0.0.5,58560,85525,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
38956,REQUEST,68:6b:a7:81:24:fe,0.0.0.0,98308,51181,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38957,DISCOVER,ca:da:75:fe:78:af,0.0.0.0,27067,26442,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38958,ACK,server,192.168.1.63,27020,22853,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38959,DISCOVER,21:39:a5:fa:90:ea,0.0.0.0,78360,64076,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38960,DISCOVER,db:79:98:9a:64:64,0.0.0.0,68084,52547,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38961,OFFER,server,192.168.1.21,50917,61603,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38962,ACK,server,192.168.1.212,77413,20481,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38963,OFFER,attacker,111.111.111.1,49186,22887,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_SPOOFING
38964,OFFER,server,192.168.1.141,99796,58294,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38965,DISCOVER,03:b9:f3:cd:5e:11,0.0.0.0,74709,28675,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38966,DISCOVER,12:63:4e:4d:2f:73,0.0.0.0,18582,2005,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38967,REQUEST,d8:6e:f7:ab:c3:f0,0.0.0.0,26488,49747,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38968,REQUEST,3b:02:75:fd:41:e2,0.0.0.0,58335,49051,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38969,REQUEST,93:04:9a:09:fc:12,192.168.1.165,612,77923,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
38970,OFFER,server,192.168.1.66,62045,38364,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38971,DISCOVER,bd:8e:4e:37:e4:02,0.0.0.0,20411,78033,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38972,DISCOVER,ec:b5:bc:db:85:50,0.0.0.0,56719,76637,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38973,ACK,server,192.168.1.40,61427,20980,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38974,REQUEST,16:53:8d:53:d2:73,0.0.0.0,4284,14379,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38975,REQUEST,c0:43:af:04:3b:60,0.0.0.0,46428,54504,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38976,ACK,server,192.168.1.192,46059,28619,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38977,DISCOVER,80:f9:91:81:e4:61,0.0.0.0,81347,55339,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38978,DISCOVER,e8:a7:fe:96:c5:93,0.0.0.0,33232,71256,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38979,DISCOVER,d2:f2:b8:88:0b:58,0.0.0.0,3789,15846,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38980,OFFER,server,192.168.1.184,27904,9006,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38981,DISCOVER,45:4b:83:42:0e:71,0.0.0.0,64701,71684,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
38982,OFFER,server,192.168.1.205,66492,53808,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38983,REQUEST,5f:13:46:14:aa:83,0.0.0.0,83377,44266,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38984,DISCOVER,e8:a1:c9:9e:1d:85,0.0.0.0,63775,66723,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38985,REQUEST,31:9b:a2:0c:ad:6a,0.0.0.0,87646,24397,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38986,DISCOVER,7e:4b:b0:c5:bf:b0,0.0.0.0,59200,21411,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38987,REQUEST,3f:23:41:ae:41:eb,0.0.0.0,21403,47265,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38988,REQUEST,4e:0a:4b:e4:c7:9d,0.0.0.0,45233,27340,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38989,REQUEST,70:8b:19:df:0d:f5,0.0.0.0,85930,13979,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38990,DISCOVER,00:2f:90:a8:7c:a4,0.0.0.0,95963,10993,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
38991,REQUEST,2b:74:44:40:c8:77,0.0.0.0,72952,54932,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38992,DISCOVER,79:80:3a:88:80:5c,0.0.0.0,3105,20968,10.0.31.114,123.123.123.123,111.111.111.1,ATTACK,RELAY_ANOMALY
38993,REQUEST,b8:10:c6:31:9d:0d,192.168.1.8,73371,8540,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
38994,REQUEST,85:f4:a3:3a:87:c1,0.0.0.0,30108,58018,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38995,ACK,server,192.168.1.124,88087,53360,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38996,DISCOVER,25:b5:35:34:83:b0,0.0.0.0,31069,54399,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
38997,ACK,server,192.168.1.12,36250,34419,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38998,OFFER,server,192.168.1.42,98029,44982,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38999,DISCOVER,3e:b2:64:58:7d:c8,0.0.0.0,4868,20841,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39000,REQUEST,20:5b:0d:1e:d4:53,0.0.0.0,98138,45200,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39001,OFFER,server,192.168.1.54,61764,84023,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39002,ACK,server,192.168.1.170,51642,62229,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39003,DISCOVER,37:65:11:89:de:e3,0.0.0.0,28947,47456,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39004,OFFER,server,192.168.1.96,54997,62431,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39005,DISCOVER,ed:bd:9d:fe:65:41,0.0.0.0,19719,80073,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39006,DISCOVER,40:4f:e7:ff:e2:0d,0.0.0.0,50993,8853,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39007,DISCOVER,75:2c:2a:50:e6:55,0.0.0.0,50857,4725,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
39008,DISCOVER,a1:75:97:37:57:4e,0.0.0.0,32911,2715,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39009,DISCOVER,c5:dd:c1:7f:c1:be,0.0.0.0,93759,39758,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39010,OFFER,server,192.168.1.13,75683,73375,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39011,OFFER,server,192.168.1.54,25704,82693,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39012,ACK,server,192.168.1.101,81614,16810,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39013,REQUEST,db:e7:04:5d:66:12,0.0.0.0,48323,48833,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39014,REQUEST,8b:2d:9f:f5:84:b2,0.0.0.0,60186,46676,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39015,ACK,server,192.168.1.24,87515,85993,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39016,OFFER,server,192.168.1.100,32960,72374,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39017,OFFER,server,192.168.1.144,82567,57337,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39018,DISCOVER,e4:d6:6a:ea:d5:7e,0.0.0.0,93521,6632,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39019,DISCOVER,d5:35:c8:8f:45:ef,0.0.0.0,61579,41250,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39020,DISCOVER,cc:f1:21:df:bc:ce,0.0.0.0,80284,46703,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
39021,DISCOVER,44:2c:fc:82:28:fe,0.0.0.0,93465,52578,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39022,DISCOVER,3c:70:74:28:a5:f3,0.0.0.0,58025,35946,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39023,DISCOVER,50:4c:c4:d7:bc:26,0.0.0.0,93618,37128,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39024,OFFER,server,192.168.1.63,62066,14894,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39025,DISCOVER,8b:74:78:14:dc:9e,0.0.0.0,57150,36965,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39026,OFFER,server,192.168.1.78,16129,29359,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39027,REQUEST,5c:76:a4:e2:52:de,192.168.1.37,22174,84191,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
39028,DISCOVER,98:56:07:ef:c8:b6,0.0.0.0,14288,5580,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
39029,ACK,6e:82:0a:d1:25:76,192.168.1.244,47752,46234,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DUPLICATE_IP
39030,ACK,server,192.168.1.226,50990,64300,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39031,OFFER,rogue_server,10.0.0.5,19862,38163,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
39032,DISCOVER,e6:57:af:d9:ac:b8,0.0.0.0,293,73405,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39033,DISCOVER,0c:6d:29:b6:5c:73,0.0.0.0,66981,26705,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
39034,DISCOVER,bb:61:4e:ca:f7:aa,0.0.0.0,90648,18424,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39035,ACK,server,192.168.1.126,60073,40113,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39036,ACK,server,192.168.1.129,37338,44798,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39037,REQUEST,f4:88:bf:f9:1c:68,192.168.1.172,29692,75187,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
39038,OFFER,server,192.168.1.181,2440,60251,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39039,OFFER,rogue_server,10.0.0.5,74270,18020,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
39040,REQUEST,ca:f1:0f:19:cb:02,0.0.0.0,11404,74718,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39041,OFFER,server,192.168.1.9,91006,69923,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39042,DISCOVER,aa:31:98:99:14:16,0.0.0.0,72880,78622,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39043,OFFER,server,192.168.1.207,96734,5867,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39044,DISCOVER,72:fe:7f:88:9f:8d,0.0.0.0,3919,79121,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
39045,OFFER,server,192.168.1.96,81284,47973,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39046,DISCOVER,bc:7c:01:db:bb:52,0.0.0.0,13118,62212,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
39047,DISCOVER,24:12:2b:62:f3:3f,0.0.0.0,66832,30323,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39048,DISCOVER,66:a5:71:25:21:a1,0.0.0.0,23118,70668,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
39049,ACK,server,192.168.1.101,14281,57015,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39050,OFFER,server,192.168.1.225,14213,32140,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39051,DISCOVER,a6:50:fa:22:21:71,0.0.0.0,42622,69619,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39052,REQUEST,e0:83:d5:14:68:54,192.168.1.16,89782,60294,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
39053,OFFER,server,192.168.1.25,96223,36585,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39054,REQUEST,73:7a:a2:38:05:c3,192.168.1.135,27126,58218,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
39055,REQUEST,17:a1:6b:40:2f:51,0.0.0.0,3008,45744,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39056,REQUEST,de:49:44:38:8f:74,0.0.0.0,47758,77131,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39057,ACK,server,192.168.1.131,9322,19106,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39058,OFFER,rogue_server,10.0.0.5,96547,81028,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
39059,DISCOVER,df:7a:8e:0d:4f:27,0.0.0.0,41754,16598,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39060,REQUEST,7d:73:66:da:ae:8e,192.168.1.97,68786,85698,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
39061,DISCOVER,98:50:39:82:28:e8,0.0.0.0,33232,13556,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39062,OFFER,server,192.168.1.121,83692,22676,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39063,REQUEST,0a:82:cb:03:ae:50,192.168.1.247,42743,50053,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
39064,REQUEST,03:74:2a:af:f6:5c,0.0.0.0,13378,74822,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39065,DISCOVER,05:69:d6:e4:16:2a,0.0.0.0,78681,45874,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
39066,DISCOVER,53:81:26:62:69:54,0.0.0.0,56480,3611,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39067,DISCOVER,40:f1:8c:95:da:5f,0.0.0.0,33461,23465,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39068,OFFER,server,192.168.1.34,32858,64618,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39069,ACK,server,192.168.1.125,9152,1298,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39070,DISCOVER,cd:7e:b9:f7:89:37,0.0.0.0,81833,23221,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39071,ACK,a1:0c:cc:af:43:c0,192.168.1.246,10983,4895,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DUPLICATE_IP
39072,OFFER,server,192.168.1.212,17470,66364,10.0.134.36,123.123.123.123,111.111.111.1,ATTACK,RELAY_ANOMALY
39073,DISCOVER,55:9d:76:f5:b9:fb,0.0.0.0,99598,47101,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39074,OFFER,server,192.168.1.186,58273,42268,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39075,REQUEST,d4:f6:a9:09:ac:52,0.0.0.0,63031,17899,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39076,REQUEST,22:77:7a:e6:42:d5,0.0.0.0,85767,31949,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39077,ACK,server,192.168.1.58,46,20585,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39078,ACK,server,192.168.1.201,52463,20573,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39079,ACK,server,192.168.1.152,28707,73461,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39080,OFFER,rogue_server,10.0.0.5,46069,36353,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
39081,DISCOVER,2e:55:d8:53:55:5f,0.0.0.0,48989,50306,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39082,DISCOVER,c8:9f:aa:fe:ad:05,0.0.0.0,53746,22760,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39083,ACK,72:fe:ac:ab:64:27,192.168.1.12,60197,21221,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DUPLICATE_IP
39084,OFFER,server,192.168.1.188,80634,29771,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39085,DISCOVER,15:12:f4:35:61:c9,0.0.0.0,19955,83923,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
39086,DISCOVER,71:99:6f:e0:87:7b,0.0.0.0,74628,71658,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
